2022/12/28 22:46:02 server listening on 0.0.0.0:7000
2022/12/28 22:48:15 [172.20.0.1:50912] connected to the server
2022/12/28 22:48:17 [172.20.0.1:47676] connected to the server
2022/12/28 22:48:19 [172.20.0.1:59718] connected to the server
2022/12/28 22:48:21 [172.20.0.1:53636] connected to the server
2022/12/28 22:48:23 [172.20.0.1:33148] connected to the server
2022/12/28 22:48:25 [172.20.0.1:46029] connected to the server
2022/12/28 22:48:27 [172.20.0.1:52293] connected to the server
2022/12/28 22:48:29 [172.20.0.1:39645] connected to the server
2022/12/28 22:48:31 [172.20.0.1:52487] connected to the server
2022/12/28 22:48:33 [172.20.0.1:40733] connected to the server
2022/12/28 22:48:35 [172.20.0.1:59671] connected to the server
2022/12/28 22:48:37 [172.20.0.1:48044] connected to the server
2022/12/28 22:48:39 [172.20.0.1:32864] connected to the server
2022/12/28 22:48:41 [172.20.0.1:36001] connected to the server
2022/12/28 22:48:43 [172.20.0.1:38111] connected to the server
2022/12/28 22:48:45 [172.20.0.1:42551] connected to the server
2022/12/28 22:48:47 [172.20.0.1:48045] connected to the server
2022/12/28 22:48:49 [172.20.0.1:33149] connected to the server
2022/12/28 22:48:51 [172.20.0.1:44586] connected to the server
2022/12/28 22:48:53 [172.20.0.1:44332] connected to the server
2022/12/28 22:49:45 [192.168.121.1:43123] connected to the server
2022/12/28 22:49:47 [192.168.121.1:48028] connected to the server
2022/12/28 22:49:49 [192.168.121.1:58305] connected to the server
2022/12/28 22:49:51 [192.168.121.1:50924] connected to the server
2022/12/28 22:49:53 [192.168.121.1:44273] connected to the server
2022/12/28 22:49:55 [192.168.121.1:36476] connected to the server
2022/12/28 22:49:57 [192.168.121.1:34138] connected to the server
2022/12/28 22:49:59 [192.168.121.1:50615] connected to the server
2022/12/28 22:50:01 [192.168.121.1:48523] connected to the server
2022/12/28 22:51:38 [172.20.0.1:41571] connected to the server
2022/12/28 22:52:06 [172.20.0.1:37972] connected to the server
2022/12/28 22:52:08 [172.20.0.1:51457] connected to the server
2022/12/28 22:52:09 [172.20.0.1:43561] connected to the server
2022/12/28 22:52:11 [172.20.0.1:45492] connected to the server
